distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 
13663.74 91 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 92 246.9142 0.04590629 0.0002297293 233.0543 2.319858 
13663.74 93 246.9142 0.04590429 0.0002297293 233.0543 2.319858 
13670.06 94 246.9142 0.04590529 0.0002307293 233.0543 2.319858 
13670.08 95 246.9142 0.04590529 0.0002287293 233.0543 2.319858 
13663.74 96 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 97 246.9142 0.04590529 0.0002297293 233.0543 2.319858 
13663.74 98 246.9142 0.04590529 0.0002297293 233.0543 2.319859 
13663.74 99 246.9142 0.04590529 0.0002297293 233.0543 2.319857 
13663.73 100 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 101 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 102 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.74 103 246.9142 0.04590433 0.0002297035 233.0504 2.320012 
13663.73 104 246.9142 0.04590233 0.0002297035 233.0504 2.320012 
13669.92 105 246.9142 0.04590333 0.0002307035 233.0504 2.320012 
13670.21 106 246.9142 0.04590333 0.0002287035 233.0504 2.320012 
13663.73 107 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 108 246.9142 0.04590333 0.0002297035 233.0504 2.320012 
13663.73 109 246.9142 0.04590333 0.0002297035 233.0504 2.320013 
13663.73 110 246.9142 0.04590333 0.0002297035 233.0504 2.320011 
13663.71 111 246.9144 0.04589276 0.0002295916 233.0296 2.320837 
13663.71 112 246.9144 0.04589276 0.0002295916 233.0296 2.320837 
13663.71 113 246.9144 0.04589276 0.0002295916 233.0296 2.320837 
13663.71 114 246.9144 0.04589376 0.0002295916 233.0296 2.320837 
13663.7 115 246.9144 0.04589176 0.0002295916 233.0296 2.320837 
13669.55 116 246.9144 0.04589276 0.0002305916 233.0296 2.320837 
13670.56 117 246.9144 0.04589276 0.0002285916 233.0296 2.320837 
13663.71 118 246.9144 0.04589276 0.0002295916 233.0296 2.320837 
13663.71 119 246.9144 0.04589276 0.0002295916 233.0296 2.320837 
13663.71 120 246.9144 0.04589276 0.0002295916 233.0296 2.320838 
13663.71 121 246.9144 0.04589276 0.0002295916 233.0296 2.320836 
13663.65 122 246.9149 0.04586564 0.0002293379 232.976 2.322954 
13663.65 123 246.9149 0.04586564 0.0002293379 232.976 2.322954 
13663.65 124 246.9149 0.04586564 0.0002293379 232.976 2.322954 
13663.66 125 246.9149 0.04586664 0.0002293379 232.976 2.322954 
13663.65 126 246.9149 0.04586464 0.0002293379 232.976 2.322954 
13669.02 127 246.9149 0.04586564 0.0002303379 232.976 2.322954 
13671.03 128 246.9149 0.04586564 0.0002283379 232.976 2.322954 
13663.65 129 246.9149 0.04586564 0.0002293379 232.976 2.322954 
13663.65 130 246.9149 0.04586564 0.0002293379 232.976 2.322954 
13663.65 131 246.9149 0.04586564 0.0002293379 232.976 2.322955 
13663.65 132 246.9149 0.04586564 0.0002293379 232.976 2.322953 
13663.49 133 246.9165 0.04578193 0.0002286044 232.8108 2.329488 
13663.49 134 246.9165 0.04578193 0.0002286044 232.8108 2.329488 
13663.49 135 246.9165 0.04578193 0.0002286044 232.8108 2.329488 
13663.5 136 246.9165 0.04578293 0.0002286044 232.8108 2.329488 
13663.48 137 246.9165 0.04578093 0.0002286044 232.8108 2.329488 
13667.99 138 246.9165 0.04578193 0.0002296044 232.8108 2.329488 
13671.87 139 246.9165 0.04578193 0.0002276044 232.8108 2.329488 
13663.49 140 246.9165 0.04578193 0.0002286044 232.8108 2.329488 
13663.49 141 246.9165 0.04578193 0.0002286044 232.8108 2.329488 
13663.49 142 246.9165 0.04578193 0.0002286044 232.8108 2.329489 
13663.49 143 246.9165 0.04578193 0.0002286044 232.8108 2.329487 
13663.04 144 246.9212 0.04554081 0.0002265686 232.335 2.34831 
13663.04 145 246.9212 0.04554081 0.0002265686 232.335 2.34831 
13663.04 146 246.9212 0.04554081 0.0002265686 232.335 2.34831 
13663.06 147 246.9212 0.04554181 0.0002265686 232.335 2.34831 
13663.01 148 246.9212 0.04553981 0.0002265686 232.335 2.34831 
13665.95 149 246.9212 0.04554081 0.0002275686 232.335 2.34831 
13673.36 150 246.9212 0.04554081 0.0002255686 232.335 2.34831 
13663.04 151 246.9212 0.04554081 0.0002265686 232.335 2.34831 
13663.04 152 246.9212 0.04554081 0.0002265686 232.335 2.34831 
